Description,Category
Spain Furniture,Property Expenses - Spain
AMAZON.COM INC,Coupon Credits from JB
BLINK IBIZA- EIVISSA,Shopping
Hopevmsdogs,Charitable and Political Donations: Hopevmsdogs
Barclays Mortgages,Mortgages Barclays
Orangutan,Charitable and Political Donations: Orangutan
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer EUR 81401 - Adela,JB - EUR 81401 - Adela
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer EUR 81401 - Adela,JB - USD 2120.333.01 - Adela
Wood Green Animal,Charitable and Political Donations: Wood Green Animal
Omaze - Not Gift Aid Registered,Charitable and Political Donations: OMAZE - Not Gift Aidable
Shopping,Shopping
BMW Financial Services,BMW Car - Motor vehicles
Sightsavers,Charitable and Political Donations: Sightsavers
EVOLV HEALTH,JB Investment account
Shopping,Shopping
Dogstar Foundation,Charitable and Political Donations: Dogstar Donat
"Chgg, Card 25",Unknown transactions
Soho House (Membership),Entertainment
Animalweb,Charitable and Political Donations: Animalweb
Eia UK,Charitable and Political Donations: Eia UK
Portsmouth water,UK Property / Farm Expenses - LFH Main Home
Donkey Sanctuary,Charitable and Political Donations: Donkey Sanctuary
Goshcc,Charitable and Political Donations: Goshcc
World Animal Protection,Charitable and Political Donations: World Animal Prote
Amazon,Shopping
Trainline,Travel - National
Petrovictan,Charitable & Political Donations: Petrovictan
Lintbells,Animal care / Pet expenses
AFLAC INC,Coupon Credits from JB
ANHEUSER BUSCH,Coupon Credits from JB
Commission Fee,Bank Fees
PDSA,Charitable and Political Donations: Pdsa Telford
CONOCOPHILLIPS,Coupon Credits from JB
Autos Manel,Travel - International
CONOCOPHILLIPS,Coupon Credits from JB
Pret a Manger,Food / Groceries
Eli Lilly & Co,Coupon Credits from JB
Sandrazecev So,Personal care/ Cosmetic
VISA INC,Coupon Credits from JB
Lower Farm House,UK Property / Farm Expenses - LFH Main Home
Alrmlawymhmd - Charity (not UK registered),Charitable & Political Donations: Alrmlawymhmd
Unknown,Telephone & Internet
Ticketmasteruk,Entertainment
Lintbells,Animal care / Pet expenses
Commission Fee,Bank Fees
Tarrant Street Clinic,Personal care/ Cosmetic
bank charge,Bank Fees
RSPCA,Charitable and Political Donations: RSPCA
Amazon Prime,Shopping
Amazon,Shopping
Dnvsaveanimals,Charitable and Political Donations: Dnvsaveanimals
Regina,charitable and political Donations: Regina
Restaurants,Entertainment
Trainline,Travel - National
Spotify,Subscriptions
Zaytoon Grill,Food / Groceries
Commission Fee,Bank Fees
Reach out for,Charitable and Political Donations: Reach
E.F.S,Telephone & Internet
Lookfantastic.Com,Shopping
L3Ky22,Charitable and Political Donations: L3Ky2
Vesna Dragojlov,Charitable and Political Donations: Vesna
JOHNSON & JOHNSON,Coupon Credits from JB
TFL,Travel - National
Bank Transfer from Moneycorp GBP - RD to Investec - Joint R&A - GBP,Investec - GBP - Joint R&A
Bank Transfer from Moneycorp GBP - RD to Investec - Joint R&A - GBP,Moneycorp GBP - RD
Petrovictan,Charitable & Political Donations: Petrovictan
Pettech.Co.Uk,Animal care / Pet expenses
Triwater Ltd,Personal care/ Cosmetic
Debans,Charitable & Political Donations: DEBANS
Zimmermann U.K. Limited,Shopping
Petrovictan,Charitable & Political Donations: Petrovictan
St Barnabas Hospic,Charitable and Political Donations: St Barnabas Hospic
Unknown,Unknown transactions
Commission Fee,Bank Fees
Soho House (Membership),Entertainment
Veterinary Services,Animal care / Pet expenses
Federico Recayte Jara,Property Expenses - Spain
Etsy,Shopping
Wasabi,Food / Groceries
Amazon,Shopping
Fushi Wellbeing,Personal care/ Cosmetic
Grumpy Mule,Shopping
Debans,Charitable & Political Donations: DEBANS
Facebook,Shopping
TFL,Travel - National
Amazon,Shopping
ATM - Cash Withdrawals,Cash ATM Transactions
Petrovictan,Charitable & Political Donations: Petrovictan
L3Ky22,Charitable and Political Donations: L3Ky2
Soho House (Membership),Entertainment
JUNIPER Arundel,Food / Groceries
Apple,Shopping
Amazon,Shopping
Apple,Shopping
"Post, Card 26",Cash ATM Transactions
"Post, Card 26",Cash ATM Transactions
Netflix.Com,Subscriptions
Lower Farm House,UK Property / Farm Expenses - LFH Main Home
Petrovictan,Charitable & Political Donations: Petrovictan
Federico Recayte Jara,Property Expenses - Spain
JUNIPER Arundel,Food / Groceries
Commission Fee,Bank Fees
Gaskyns,Food / Groceries
Debans,Charitable & Political Donations: DEBANS
The Boathouse Arundel,Entertainment
henna.n,Charitable and Political Donations
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
Eva Grindley,UK Property / Farm Expenses - LFH Main Home
Uk For Unhcr,Charitable and Political Donations: UK for Unhcr
Helpanimals,Charitable and Political Donations: Helpanimals
Janaa,Charitable and Political Donations: Janaa
COUPON CREDIT JPY,Coupon Credits from JB
Dare Djurovic,Charitable and Political Donations: Dared
RSPB,Charitable and Political Donations: RSPB
Amnesty Int Uk,Charitable and Political Donations: Amnesty Int Uk
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
Amazon,Shopping
Animalweb,Charitable and Political Donations: Animalweb
Ivahok,Charitable and Political Donations: Ivahok
Cotswold RAW,Animal care / Pet expenses
Outfox The Market,"Light, Power, Heating - UK"
Commission Fee,Bank Fees
Dalialovesdogg,Charitable and Political Donations: Dalialovesdog
TFL,Travel - National
Co-op Group,Food / Groceries
Modaoperand,Shopping
HONEYWELL INTERNATIONAL INC,Coupon Credits from JB
Johnsons Enterprises L,Shopping
JUNIPER Arundel,Food / Groceries
Cowdray Farm Shop,Food / Groceries
Pallant of Arundel,Food / Groceries
Steve Lewis,Steve Lewis
JUNIPER Arundel,Food / Groceries
FUENTE JARA S.L.,Property Expenses - Spain
Battersea Dogs,Charitable and Political Donations: Battersea Dogs
Hillside animal sanctuary,Charitable and Political Donations: Hillsideani
Ifaw.org,Charitable and Political Donations: Ifaw.org
Spotlight Oral Care,Personal care/ Cosmetic
Amazon,Shopping
Pallant of Arundel,Food / Groceries
Trainline,Travel - National
Pharmacy,Personal care/ Cosmetic
Help.For.Stray,Charitable and Political Donations: Help.for stray
Co-op Group,Food / Groceries
EVA DOWNEY,Eva Downey
Vesna Dragojlov,Charitable and Political Donations: Vesna
Commission Fee,Bank Fees
Eli Lilly & Co,Coupon Credits from JB
Amazon,Shopping
Amazon,Shopping
Amazon,Shopping
EXXON MOBIL CORP,Coupon Credits from JB
ATM - Cash Withdrawals,Cash ATM Transactions
Wasabi,Food / Groceries
The Barn,Entertainment
henna.n,Charitable and Political Donations
Innopure,Personal care/ Cosmetic
The Goodwood Shop,Shopping
Maoz,Food / Groceries
SpaceNK,Shopping
Beauty Pie,Shopping
Deliveroo,Food / Groceries
Janaa,Charitable and Political Donations: Janaa
Dalialovesdog,Charitable and Political Donations: Dalia
Animalweb,Charitable and Political Donations: Animalweb
TRANSFER A RYR,Unknown transactions
The Spa Club,Personal care/ Cosmetic
Janaa,Charitable and Political Donations: Janaa
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
HMRC,HMRC Tax
henna.n,Charitable and Political Donations
Forsters LLP Law Firm,Legal and Professional Expenses
S&P GLOBAL INC,Coupon Credits from JB
Dalialovesdogg,Charitable and Political Donations: Dalialovesdog
Change.org,Charitable and Political Donations: Change.org
Animalweb,Charitable and Political Donations: Animalweb
TFL,Travel - National
The Spa Club,Personal care/ Cosmetic
ATM - Cash Withdrawals,Cash ATM Transactions
All Inclusive Fee,Bank Fees
ATM - Cash Withdrawals,Cash ATM Transactions
Startyourlife,Personal care/ Cosmetic
Autoimmuneinstitute,Personal care/ Cosmetic
Uklash,Personal care/ Cosmetic
Avalla Ltd,Shopping
ATM - Cash Withdrawals,Cash ATM Transactions
Trainline,Travel - National
Ivahok,Charitable and Political Donations: Ivahok
Restaurants,Entertainment
All Inclusive Fee,Bank Fees
All Inclusive Fee,Bank Fees
Zimmermann U.K. Limited,Shopping
ATM - Cash Withdrawals,Cash ATM Transactions
ATM - Cash Withdrawals,Cash ATM Transactions
Helpanimals,Charitable and Political Donations: Helpanimals
Vesna Dragojlov,Charitable and Political Donations: Vesna
Animalweb,Charitable and Political Donations: Animalweb
TFL,Travel - National
Leon,Food / Groceries
Change.org,Charitable and Political Donations: Change.org
APPLIED MATERIALS,Coupon Credits from JB
Helpanimals,Charitable and Political Donations: Helpanimals
wwf lottery,Charitable and Political Donations
Ivahok,Charitable and Political Donations: Ivahok
Bank Transfer from Julius Baer USD 33301 to Virgin Money - ,Virgin Money - GBP - Joint R&A
Bank Transfer from Julius Baer USD 33301 to Virgin Money - ,JB - USD 2120.333.01 - Adela
Helpanimals 19,Charitable and Political Donations: Helpanimals
MICROSOFT CORP,Coupon Credits from JB
Leon,Food / Groceries
Restaurants,Entertainment
Trainline,Travel - National
Debans,Charitable & Political Donations: DEBANS
poliivana,Poliivana
Reach out for,Charitable and Political Donations: Reach
Dare Djurovic,Charitable and Political Donations: Dared
Etsy,Shopping
Colorescience Uk,Personal care/ Cosmetic
Motorway Services,Travel - National
Restaurants,Entertainment
Georgia Hardinge,Shopping
League Against,Charitable and Political Donations: League Against
Taxi - UK,Travel - National
Clic Sgent Dd&So,Charitable and Political Donations: CLIC Sargent Cancer Care
ATM - Cash Withdrawals,Cash ATM Transactions
Federico Recayte Jara,Property Expenses - Spain
Petwell.Co.Uk,Animal care / Pet expenses
The Boathouse Arundel,Entertainment
Helpanimals,Charitable and Political Donations: Helpanimals
Apple,Shopping
Trainline,Travel - National
interest,Interest Income
Veterinary Services,Animal care / Pet expenses
Butternut Box,Animal care / Pet expenses
Etsy,Shopping
Pallant of Arundel,Food / Groceries
ATM - Cash Withdrawals,Cash ATM Transactions
Commission Fee,Bank Fees
TFL,Travel - National
CURB MOBILITY LIMITED,Travel - National
Trainline,Travel - National
Int Rescue Committ,Charitable and Political Donations: Rescue
Unknown,Unknown transactions
Four paws UK,Charitable and Political Donations: Four paws UK
Lynnm,Charitable and Political Donations: Lynnm
Pharmacy,Personal care/ Cosmetic
RSPCA,Charitable and Political Donations: RSPCA
Trainline,Travel - National
Petwell.Co.Uk,Animal care / Pet expenses
Daunt Books,Shopping
Amazon,Shopping
Vesna Dragojlov,Charitable and Political Donations: Vesna
Huel,Food / Groceries
Restaurante Jondal,Entertainment
REPAYMENT FIDUC.CALL,Deposit
Help.For.Stray,Charitable and Political Donations: Help.for stray
Unknown,Unknown transactions
Rokvicgordana,Rokvicgordana
Trainline,Travel - National
Commission Fee,Bank Fees
bank charge,Bank Fees
Oscars Place,Food / Groceries
TFL,Travel - National
Vesna Dragojlov,Charitable and Political Donations: Vesna
Humane Society International,Charitable and Political Donations: Humane Society International - Gift Aidable
Westpoint Group Tr,Shopping
Veterinary Services,Animal care / Pet expenses
Lynnm,Charitable and Political Donations: Lynnm
Unknown,Unknown transactions
Petrovictan,Charitable & Political Donations: Petrovictan
Alrmlawymhmd - Charity (not UK registered),Charitable & Political Donations: Alrmlawymhmd
Petwell.Co.Uk,Animal care / Pet expenses
bank charge,Bank Fees
111 Skin Ltd,Shopping
Lower Farm House,UK Property / Farm Expenses - LFH Main Home
Amazon,Shopping
Ifaw.org,Charitable and Political Donations: Ifaw.org
Moda Operandi,Shopping
Tbubanja,Charitable and Political Donations
Parking,Motor Vehicle Expenses
ALPHABET INC,Coupon Credits from JB
Sky Mobile,Telephone & Internet
Vesna Dragojlov,Charitable and Political Donations: Vesna
Ivahok,Charitable and Political Donations: Ivahok
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
M&S,Shopping
Dare Djurovic,Charitable and Political Donations: Dared
Animalweb,Charitable and Political Donations: Animalweb
Airbnb,Travel - National
Superdrug,Personal care/ Cosmetic
ATM - Cash Withdrawals,Cash ATM Transactions
Dalialovesdogg,Charitable and Political Donations: Dalialovesdog
Provet,Animal care / Pet expenses
Animalweb,Charitable and Political Donations: Animalweb
Etsy,Shopping
Trainline,Travel - National
Giveasyoulive,Charitable and Political Donations:  Giveasyoulive
Trainline,Travel - National
Amazon,Shopping
Vesna Dragojlov,Charitable and Political Donations: Vesna
Change.org,Charitable and Political Donations: Change.org
HONEYWELL INTL,Investments
Lynnm,Charitable and Political Donations: Lynnm
THE MOSAIC CO,Coupon Credits from JB
Wires Wires,Shopping
Dare Djurovic,Charitable and Political Donations: Dared
Vesna Dragojlov,Charitable and Political Donations: Vesna
The Boathouse Arundel,Entertainment
Safe Haven For Donkeys,Charitable and Political Donations: Safe haven
Purchase - INVESTMENTS,Investments
"Post, Card 26",Cash ATM Transactions
Veterinary Services,Animal care / Pet expenses
NVIDIA CORP,Investments
Steve Lewis,Steve Lewis
Huel,Food / Groceries
Animalweb,Charitable and Political Donations: Animalweb
JUNIPER Arundel,Food / Groceries
*Madalinabaronc,Charitable and Political Donations: Madal
Lower Farm House,UK Property / Farm Expenses - LFH Main Home
"Post, Card 26",Cash ATM Transactions
Gaskyns,Food / Groceries
Sam Debuse,Samuel Debuse
Tbubanja,Charitable and Political Donations
TFL,Travel - National
Petrovictan,Charitable & Political Donations: Petrovictan
REPAYMENT FIDUC.CALL,Deposit
Alrmlawymhmd - Charity (not UK registered),Charitable & Political Donations: Alrmlawymhmd
Yourpetnutrition,Animal care / Pet expenses
Amazon,Shopping
Horniman Museum,Entertainment
Fushi Wellbeing,Personal care/ Cosmetic
ELECTRICITY ENDESA ENERGIA,Property Expenses - Spain
Spinach Restaurant,Entertainment
Tbubanja,Charitable and Political Donations
Paypal Donation,Charitable and Political Donations: Paypal Donation
Commission Fee,Bank Fees
Animalweb,Charitable and Political Donations: Animalweb
Free Turn Limited,Investments
Alrmlawymhmd - Charity (not UK registered),Charitable & Political Donations: Alrmlawymhmd
Bro And Brothers,Shopping
Apple,Shopping
French Caf Bistrot,Food / Groceries
Petrovictan,Charitable & Political Donations: Petrovictan
Deliveroo,Food / Groceries
ECO ALTERNATIVE,Charitable and Political Donations
Steve Lewis,Steve Lewis
Juan Castillo Rosa,Repairs & Maintenance - Spain
Animalweb,Charitable and Political Donations: Animalweb
Pheonix Detailing,Pheonix Detailing - DLA
bank charge,Bank Fees
Gett,Travel - National
Pallant of Arundel,Food / Groceries
Grub Club Pets,Animal care / Pet expenses
Commission Fee,Bank Fees
Paypal Donation,Charitable and Political Donations: Paypal Donation
Unity Communications Ltd,Subscriptions
Deliveroo,Food / Groceries
Petwell.Co.Uk,Animal care / Pet expenses
Colicci,Shopping
Gett,Travel - National
Unknown,Unknown transactions
Action Aid Uk,Charitable and Political Donations: Actionaid UK - Gift Aidable
Colicci,Entertainment
MATERIALS SA TALAIA,Shopping
Deliveroo,Food / Groceries
Bank Transfer from Julius Baer USD 33301 to JB $ Top card credit 063,JB $ TopCard credit 063 - Adela
Bank Transfer from Julius Baer USD 33301 to JB $ Top card credit 063,JB - USD 2120.333.01 - Adela
Compensation Credit,Compensation payments JB
Wyldwoman,Charitable and Political Donations: Wyldwoman (Not UK registered)
Animalweb,Charitable and Political Donations: Animalweb
Commission Fee,Bank Fees
Amazon,Shopping
Debans,Charitable & Political Donations: DEBANS
Honda,Motor Vehicle Expenses
Animalweb,Charitable and Political Donations: Animalweb
Vesna Dragojlov,Charitable and Political Donations: Vesna
savic,Charitable and Political Donations: Savic
Morgan Pilcher,Photography
Water Aid,Charitable and Political Donations: Wateraid
Tbubanja,Charitable and Political Donations
Zlakrvopijica,Charitable and Political Donations: Zlakrvopijica
Animalweb,Charitable and Political Donations: Animalweb
Animalweb,Charitable and Political Donations: Animalweb
Fmb construction,Fmb Construction
REPAYMENT FIDUC.CALL,Deposit
Association,Unknown transactions
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer GBP 40201 - Adela,JB - GBP 40201 - Adela
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer GBP 40201 - Adela,JB - USD 2120.333.01 - Adela
Help.For.Stray,Charitable and Political Donations: Help.for stray
itsu,Food / Groceries
Sainsburys,Food / Groceries
ATM - Cash Withdrawals,Cash ATM Transactions
Startyourlife,Personal care/ Cosmetic
Unknown,Unknown transactions
Pharmacy,Personal care/ Cosmetic
Hillside animal sanctuary,Charitable and Political Donations: Hillsideani
ISHARES PLC,Coupon Credits from JB
Sp Symprove Uk,Personal care/ Cosmetic
CME GROUP INC,Coupon Credits from JB
ATM - Cash Withdrawals,Cash ATM Transactions
Trainline,Travel - National
Apple,Shopping
Animalweb,Charitable and Political Donations: Animalweb
ISHARE V PLC,Coupon Credits from JB
UNITEDHEALTH GROUP,Coupon Credits from JB
Nfu Mutual Ins-Bc,Insurance
VANGUARD FUNDS PLC,Coupon Credits from JB
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
Deliveroo,Food / Groceries
Unknown,Personal care/ Cosmetic
Commission Fee,Bank Fees
Fmb construction,Fmb Construction
Eva Grindley,UK Property / Farm Expenses - LFH Main Home
JUNIPER Arundel,Food / Groceries
Soho House (Membership),Entertainment
Trainline,Travel - National
Phoenix Aviation,Entertainment
Pallant of Arundel,Food / Groceries
jodie moore,UK Property / Farm Expenses - LFH Main Home
Federico Recayte Jara,Property Expenses - Spain
French Caf Bistrot,Food / Groceries
Compassion,Charitable and Political Donations: Compassion
REPAYMENT FIDUC.CALL,Deposit
Co-op Group,Food / Groceries
Bank Transfer from Julius Baer GBP 40201 to Virgin Money - ,Virgin Money - GBP - Joint R&A
Bank Transfer from Julius Baer GBP 40201 to Virgin Money - ,JB - GBP 40201 - Adela
TFL,Travel - National
Co-op Group,Food / Groceries
Pallant of Arundel,Food / Groceries
ATM - Cash Withdrawals,Cash ATM Transactions
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
Unknown,Unknown transactions
Gofundme,Charitable and Political Donations
Italist,Shopping
Apple,Shopping
meta,Coupon Credits from JB
"Post, Card 26",Cash ATM Transactions
Unknown,Shopping
Commission Fee,Bank Fees
Pharmacy,Personal care/ Cosmetic
savic,Charitable and Political Donations: Savic
Airbnb,Travel - International
Wyldwoman,Charitable and Political Donations: Wyldwoman (Not UK registered)
Starbucks,Food / Groceries
EVA DOWNEY,Eva Downey
ATM - Cash Withdrawals,Cash ATM Transactions
Association,Unknown transactions
interest,Interest Income
Amazon,Shopping
Vesna Dragojlov,Charitable and Political Donations: Vesna
Maturity Fixed term loan,Lombard Loan - JB 81406 EUR
Trainline,Travel - National
MICROSOFT CORP,Investments
Maturity Fixed term loan,Lombard Loan - JB 81406 EUR
Certas Energy,"Light, Power, Heating - UK"
GILEAD SCIENCES INC,Coupon Credits from JB
ATM - Cash Withdrawals,Unknown transactions
interest,Interest Income
ATM - Cash Withdrawals,Cash ATM Transactions
Amazon,Shopping
helpforanimals,Charitable and Political Donations: helpforanimals
Business insurance policied Sabadell,Insurance
Animalweb,Charitable and Political Donations: Animalweb
The Boathouse Arundel,Entertainment
bank charge,Bank Fees
ATM - Cash Withdrawals,Cash ATM Transactions
NEWMONT CORPORATION,Coupon Credits from JB
TFL,Travel - National
MICROSOFT CORP,JB Investment account
Outnet The Out,Shopping
bank charge,Bank Fees
Tbubanja,Charitable and Political Donations
Income Transfer,Interest Paid
Income Transfer,Interest Paid
interest,Interest Paid
interest,Interest Paid
bank charge,Interest Paid
Paypal *Rex,Charitable and Political Donations: REX
BMW Financial Services,BMW Car - Motor vehicles
Netaporter,Shopping
The Brooke Hospital,Charitable and Political Donations: The Brooke Hospital
Dalialovesdogg,Charitable and Political Donations: Dalialovesdog
Change.org,Charitable and Political Donations: Change.org
Donkey Sanctuary,Charitable and Political Donations: Donkey Sanctuary
savic,Charitable and Political Donations: Savic
Leon,Food / Groceries
Deliveroo,Food / Groceries
Amazon Prime,Subscriptions
Steve Lewis,Steve Lewis
Federico Recayte Jara,Property Expenses - Spain
UNION PACIFIC CORP,Coupon Credits from JB
Help.For.Stray,Charitable and Political Donations: Help.for stray
Co-op Group,Food / Groceries
Dare Djurovic,Charitable and Political Donations: Dared
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer GBP 40201 - Adela,JB - GBP 40201 - Adela
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer GBP 40201 - Adela,JB - USD 2120.333.01 - Adela
Paypal Donation,Charitable and Political Donations: Paypal Donation
Commission Fee,Bank Fees
Nfu Mutual Ins-Bc,Insurance
Fauna & Flora,Charitable and Political Donations: Fauna & Flora cambridge
Trainline,Travel - National
Dare Djurovic,Charitable and Political Donations: Dared
Apple,Shopping
Soi Dog Foundation,Charitable and Political Donations: Soi Dog Foundation
Gett,Travel - National
Change.org,Charitable and Political Donations: Change.org
Eia UK,Charitable and Political Donations: Eia UK
Airbnb,Travel - National
TFL,Travel - National
Sightsavers,Charitable and Political Donations: Sightsavers
Etsy,Shopping
Dogs Trust,Charitable and Political Donations: Dogs Trust
JUNIPER Arundel,Food / Groceries
Co-op Group,Food / Groceries
Barclays Mortgages,Mortgages Barclays
Greenpeace Limited,Charitable and Political Donations: Greenpeace Ltd
Reach out for,Charitable and Political Donations: Reach
Startyourlife,Personal care/ Cosmetic
Wyldwoman,Charitable and Political Donations: Wyldwoman (Not UK registered)
Petrovictan,Charitable & Political Donations: Petrovictan
savic,Charitable and Political Donations: Savic
Arabesque,Shopping
Vesna Dragojlov,Charitable and Political Donations: Vesna
Four paws UK,Charitable and Political Donations: Four paws UK
Wood Green Animal,Charitable and Political Donations: Wood Green Animal
DVLA,Motor Vehicle Expenses
Sky Digital,Subscriptions
Deliveroo,Food / Groceries
Horsham Service Station,Travel - National
SMC Re Unity,Charitable and Political Donations: SMC Re Unity
Amazon,Shopping
Group 1 - BMW,BMW Car - Motor vehicles
Vesna Dragojlov,Charitable and Political Donations: Vesna
NVIDIA CORP,Coupon Credits from JB
Arun D.C.,Arun D.C.
World Animal Protection,Charitable and Political Donations: World Animal Prote
Goshcc,Charitable and Political Donations: Goshcc
Gett,Travel - National
Co-op Group,Food / Groceries
Cuddly Inc,Charitable and Political Donations
Animalweb,Charitable and Political Donations: Animalweb
Cotswold RAW,Animal care / Pet expenses
Tbubanja,Charitable and Political Donations
Orangutan,Charitable and Political Donations: Orangutan
Megans East Dulwich,Entertainment
Spotify,Subscriptions
Revolve UK,Shopping
Help.For.Stray,Charitable and Political Donations: Help.for stray
Association,Unknown transactions
Jodie Moore,UK Property / Farm Expenses - LFH Main Home
Harry Hawkins,Animal care / Pet expenses
World of Books,Shopping
Psychiatry Limited,Personal care/ Cosmetic
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
Orangutan,Charitable and Political Donations: Orangutan
Cleansing Service,Cleaning
Huel,Food / Groceries
NIKE INC,Coupon Credits from JB
Animalweb,Charitable and Political Donations: Animalweb
Amazon,Shopping
Lower Farm House,UK Property / Farm Expenses - LFH Main Home
Animalweb,Charitable and Political Donations: Animalweb
HUNTINGTON BANCSHS,Coupon Credits from JB
Soho House (Membership),Entertainment
Friends Earth Trust,Charitable and Political Donations: Friends Earth Trus
Lookfantastic.Com,Shopping
38 Degrees,Charitable and Political Donations: 38 Degrees
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
Dalialovesdogg,Charitable and Political Donations: Dalialovesdog
"Post, Card 26",Cash ATM Transactions
Shelter Nat camp,Charitable and Political Donations: Shelter Nat camp
Omaze - Not Gift Aid Registered,Charitable and Political Donations: OMAZE - Not Gift Aidable
Veterinary Services,Animal care / Pet expenses
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
Le Shuttle 1991,Travel - International
Dogstar Foundation,Charitable and Political Donations: Dogstar Donat
Lorenwoka,Charitable and Political Donations: Lorenwoka
RSPCA,Charitable and Political Donations: RSPCA
Sandrazecev So,Personal care/ Cosmetic
Lyma,Personal care/ Cosmetic
Regina,charitable and political Donations: Regina
Justanswer.Co.Uk,Subscriptions
HONEYWELL INTL INC,JB Investment account
Vesna Dragojlov,Charitable and Political Donations: Vesna
Pharmacy,Personal care/ Cosmetic
Bank Transfer from Julius Baer JPY 53403 - Adela to Julius Baer GBP 40203 - Adela,JB - GBP 40203 - Adela
Bank Transfer from Julius Baer JPY 53403 - Adela to Julius Baer GBP 40203 - Adela,JB - JPY 53403 - Adela
BOOKING HOLDINGS INC,Coupon Credits from JB
L3Ky22,Charitable and Political Donations: L3Ky2
BROADCOM INC,Coupon Credits from JB
Animalweb,Charitable and Political Donations: Animalweb
Dnvsaveanimals,Charitable and Political Donations: Dnvsaveanimals
Veterinary Services,Animal care / Pet expenses
Direct Ferries,Travel - International
Amazon,Shopping
Sam Debuse,Samuel Debuse
Co-op Group,Food / Groceries
Purchase - INVESTMENTS,Investments
"Post, Card 26",Cash ATM Transactions
Amazon,Shopping
Lintbells,Animal care / Pet expenses
Taxi - UK,Travel - National
Dare Djurovic,Charitable and Political Donations: Dared
Petrovictan,Charitable & Political Donations: Petrovictan
Alrmlawymhmd - Charity (not UK registered),Charitable & Political Donations: Alrmlawymhmd
Etsy,Shopping
Pharmacy,Personal care/ Cosmetic
helpforanimals,Charitable and Political Donations: helpforanimals
JUNIPER Arundel,Food / Groceries
savic,Charitable and Political Donations: Savic
Gaskyns,Food / Groceries
Trainline,Travel - National
Transfer Unknown,Unknown transactions
Deliveroo,Food / Groceries
Unknown,Unknown transactions
Vesna Dragojlov,Charitable and Political Donations: Vesna
Lou Jordan Fine Art,Shopping
PDSA,Charitable and Political Donations: Pdsa Telford
Deliveroo,Food / Groceries
Unknown,Telephone & Internet
E.F.S,Telephone & Internet
Pharmacy,Personal care/ Cosmetic
Johnsons Enterprises L,Shopping
Pallant of Arundel,Food / Groceries
almighty457,Charitable & Political Donations: asdzxx123asdm
REPAYMENT FIDUC.CALL,Deposit
TFL,Travel - National
Vesna Dragojlov,Charitable and Political Donations: Vesna
RSPCA,Charitable and Political Donations: RSPCA
Lorenwoka,Charitable and Political Donations: Lorenwoka
Debans,Charitable & Political Donations: DEBANS
Bank Transfer from Julius Baer EUR 81401 to Julius Baer EUR 81406,JB - EUR 81406 - Adela
Bank Transfer from Julius Baer EUR 81401 to Julius Baer EUR 81406,JB - EUR 81401 - Adela
L3Ky22,Charitable and Political Donations: L3Ky2
Pettech.Co.Uk,Animal care / Pet expenses
Help.For.Stray,Charitable and Political Donations: Help.for stray
"Post, Card 26",Cash ATM Transactions
REPAYMENT FIDUC.CALL,Deposit
Sainsburys,Food / Groceries
savic,Charitable and Political Donations: Savic
Petrovictan,Charitable & Political Donations: Petrovictan
Charlies Farm Shop,Food / Groceries
Petrovictan,Charitable & Political Donations: Petrovictan
Commission Fee,Bank Fees
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer EUR 81401 - Adela,JB - EUR 81401 - Adela
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer EUR 81401 - Adela,JB - USD 2120.333.01 - Adela
Amazon,Shopping
Currys,Shopping
Spotify,Subscriptions
Digby's Patisserie,Food / Groceries
Dare Djurovic,Charitable and Political Donations: Dared
Amazon Prime,Shopping
Trainline,Travel - National
Soho House (Membership),Entertainment
TFL,Travel - National
"Post, Card 26",Cash ATM Transactions
PHOENIX DETAILING,Motor Vehicle Expenses
Netflix.Com,Subscriptions
Veterinary Services,Animal care / Pet expenses
"Post, Card 26",Cash ATM Transactions
Giganticgigantic.com,Entertainment
Indigo Double Bay,Food / Groceries
Amazon,Shopping
Helpanimals,Charitable and Political Donations: Helpanimals
Steve Lewis,Steve Lewis
Hillside animal sanctuary,Charitable and Political Donations: Hillsideani
ST EPAIN,Entertainment
Fetcher Dog,Charitable and Political Donations: Fetcher Dog
ST EPAIN,Entertainment
Unknown,Unknown transactions
JUNIPER Arundel,Food / Groceries
PEAGE AUTOROUTE ASF-VEDENE CEDEX,Travel - International
Online For Equine,Horses
ST EPAIN,Entertainment
L3Ky22,Charitable and Political Donations: L3Ky2
Apple,Shopping
SpaceNK,Shopping
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
